framework,pde,model,setting,size,split,mean_relative_error,std_relative_error,predict_time_seconds,n_eval,ood_file,n_train,n_params,train_time_seconds,epochs,lr,batch_size,num_trunk,num_branch,num_leaf
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,medium,ood,0.3596709370613098,0.3571104407310486,0.4131897389888763,4000,ood.h5,10000,2198001,246.58877782151103,200,0.001,64,100,100,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,medium,ood,0.1325892508029937,0.0919492244720459,0.4116689898073673,4000,ood_init_GP.h5,10000,2198001,246.58877782151103,200,0.001,64,100,100,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,medium,ood,0.7258632779121399,0.3271494209766388,0.4120611753314733,4000,ood_init_amp.h5,10000,2198001,246.58877782151103,200,0.001,64,100,100,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,medium,ood,0.3596709370613098,0.3571104407310486,0.4112579375505447,4000,ood_par.h5,10000,2198001,246.58877782151103,200,0.001,64,100,100,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,medium,ood,0.2600072026252746,0.2660132050514221,0.4112156648188829,4000,ood_par_init_GP.h5,10000,2198001,246.58877782151103,200,0.001,64,100,100,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,medium,ood,0.6693429350852966,0.2943249642848968,0.4115310441702604,4000,ood_par_init_amp.h5,10000,2198001,246.58877782151103,200,0.001,64,100,100,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,large,test,0.1450813114643097,0.0540743693709373,0.6931170839816332,4000,,10000,9678401,348.916956147179,200,0.001,64,150,150,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,large,ood,0.3380061686038971,0.2456029951572418,0.6923470310866833,4000,ood.h5,10000,9678401,348.916956147179,200,0.001,64,150,150,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,large,ood,0.1899247765541076,0.1293394118547439,0.6914371401071548,4000,ood_init_GP.h5,10000,9678401,348.916956147179,200,0.001,64,150,150,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,large,ood,1.033149242401123,0.5187734365463257,0.6918505057692528,4000,ood_init_amp.h5,10000,9678401,348.916956147179,200,0.001,64,150,150,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,large,ood,0.3380061686038971,0.2456029951572418,0.6915785446763039,4000,ood_par.h5,10000,9678401,348.916956147179,200,0.001,64,150,150,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,large,ood,0.2632609009742737,0.1742599904537201,0.6915592662990093,4000,ood_par_init_GP.h5,10000,9678401,348.916956147179,200,0.001,64,150,150,
Framework2,Nonlinear_Klein_Gordon,mionet,MIONet,large,ood,0.995028793811798,0.478885293006897,0.6914697159081697,4000,ood_par_init_amp.h5,10000,9678401,348.916956147179,200,0.001,64,150,150,
